id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	analysis	-0.4158	0.0789	2	48	185	83	2013.8193
2	application	-0.3479	-0.3568	3	29	46	24	2013.2083
3	area	-0.3885	-0.5689	3	42	143	62	2014.6774
4	assessment	0.0168	-0.0333	1	45	168	67	2014.4478
5	case	-0.6068	-0.0599	2	31	76	30	2014.1667
6	case study	-0.1447	-0.5867	3	40	162	64	2015.1406
7	cause	-1.0785	-0.0785	2	21	35	14	2013.9286
8	change	0.8948	-0.1648	1	26	49	21	2014.619
9	china	0.6898	0.3386	1	21	42	24	2015.625
10	city	0.0011	-0.4452	5	33	80	34	2015.5294
11	climate	1.0853	-0.1215	1	21	33	16	2015.8125
12	climate change	0.9437	0.0786	1	28	60	29	2014.7931
13	damage	-0.6996	-0.3032	4	25	53	23	2014.6957
14	development	0.0464	0.5561	2	35	63	29	2014.7241
15	disaster	0.504	0.6439	1	33	73	39	2015.4872
16	egypt	-0.4121	-1.0924	3	16	31	14	2013.7857
17	flash	0.1857	0.3304	4	27	44	20	2013.7
18	flash flood	-0.2283	-0.2193	2	47	307	153	2014.1176
19	flash flood event	0.4311	-0.2655	5	29	39	15	2014.4667
20	flash flooding	-0.0813	0.6948	2	29	45	22	2013.1818
21	flood	-0.2487	-0.0575	4	48	258	135	2014.3778
22	flood risk	-0.2141	0.4556	2	33	66	37	2013.8108
23	flood risk assessment	0.4112	0.0859	1	25	40	20	2013.7
24	flood risk management	-0.9458	-0.53	3	16	25	14	2013.2143
25	flooding	-0.2397	0.6567	2	34	79	32	2014
26	framework	0.2391	0.6288	1	22	39	21	2014
27	france	-0.9809	-0.375	4	25	58	21	2014.2381
28	frequency	0.6617	0.5261	1	19	26	13	2015
29	gis	-0.5029	-0.9794	3	22	40	16	2012.3125
30	greece	-0.9611	0.6143	2	19	40	17	2015.7647
31	impact	0.647	-0.2195	1	40	108	50	2013.84
32	increase	0.7587	0.1265	1	24	36	15	2014.4
33	india	0.7799	0.5261	1	19	27	15	2014.6667
34	italy	0.4161	-0.3707	5	29	66	27	2013.7037
35	landslide	0.6778	-0.9182	5	19	39	19	2013.9474
36	management	-0.4821	-0.072	4	29	70	37	2014.3514
37	natural hazard	-0.8607	0.2704	2	25	51	22	2015.3182
38	november	0.3584	-1.0123	5	16	35	12	2013.4167
39	occurrence	0.9055	0.3534	1	26	46	20	2012.5
40	paper	-0.1951	0.2146	4	43	118	56	2013.0714
41	review	-0.4393	1.0685	2	13	17	14	2015.5
42	risk	0.0142	0.077	4	40	95	44	2014.0227
43	risk assessment	0.2808	-0.5348	1	26	42	18	2012.6111
44	romania	-0.099	-0.8685	3	22	43	17	2014.8824
45	saudi arabia	0.2067	-0.7262	5	23	41	14	2015.9286
46	spain	-0.6688	0.8531	2	19	34	18	2014.7222
47	study	0.1836	-0.041	1	41	131	64	2014.2812
48	urban area	-0.5926	0.4609	2	22	36	19	2014.9474
49	use	0.8074	-0.0008	1	29	49	24	2014.0417
50	vulnerability	0.5267	0.2954	1	38	116	49	2014.6531
51	work	-0.5654	0.6769	2	18	29	14	2014.1429
52	year	-0.2738	0.3901	2	26	44	21	2012.8095
